"Category","Timestamp","Detail","Temperature (°F)","Wind Direction","Wind Notes","Additional Notes","Date","Datetime"
"Environmental Conditions","1899-12-31 11:00:00","Arrival, mild cloud cover over ridge",74,"E94","Cross breeze","Clear over ocean",2024-12-23,NA
"Environmental Conditions","1899-12-31 12:05:00","Clouds forming on horizon",NA,"E82","Toward rocks","Cumulus clouds appearing",2024-12-23,NA
"Environmental Conditions","1899-12-31 13:07:00","Clouds stacked on horizon, none over point",NA,NA,NA,NA,2024-12-23,NA
"Fauna","1899-12-31 11:43:00","Spider",NA,NA,NA,"Photo taken",2024-12-23,NA
"Fauna","1899-12-31 12:08:00","Butterfly",NA,NA,NA,"Filmed earlier; second sighting",2024-12-23,NA
"Fauna","1899-12-31 12:10:00","Honeybee",NA,NA,NA,"First seen since entrance",2024-12-23,NA
"Fauna","1899-12-31 12:59:00","Flies, moths",NA,NA,NA,"Photos taken",2024-12-23,NA
"Fauna","1899-12-31 13:29:00","Butterfly",NA,NA,NA,"Additional sighting",2024-12-23,NA
"Fauna","1899-12-31 13:35:00","Pigeons",NA,NA,NA,"Observed",2024-12-23,NA
"Fauna","1899-12-31 13:45:00","Sandpiper",NA,NA,NA,"Trailside birding",2024-12-23,NA
"Fauna",NA,"Grasshopper or cricket",NA,NA,NA,"Unidentified insect",2024-12-23,NA
"Flora",NA,"Ilima",NA,NA,NA,"Consistent throughout the trail; typically with Naupaka and Naio",2024-12-23,NA
"Flora",NA,"Naupaka",NA,NA,NA,"Sparse; affected by wind exposure",2024-12-23,NA
"Flora","1899-12-31 12:17:00","Naupaka",NA,NA,NA,"Denser further up trail; photos taken",2024-12-23,NA
"Flora",NA,"Naio",NA,NA,NA,"More prevalent further down the trail",2024-12-23,NA
"Site/Spatial","1899-12-31 12:08:00","Observation spot",NA,NA,NA,"Photo taken",2024-12-23,NA
"Site/Spatial","1899-12-31 12:49:00","West-side observation spot",NA,NA,NA,"Photo log entry",2024-12-23,NA
"Site/Spatial",NA,"Restoration area",NA,NA,NA,"Unclear boundaries; accessibility issues",2024-12-23,NA
"Site/Spatial",NA,"Trail markers",NA,NA,NA,"More defined further up the trail",2024-12-23,NA
"Site/Spatial",NA,"Reserve fence",NA,NA,NA,"Fenced due to rodents",2024-12-23,NA
"Social",NA,"General visitor interaction",NA,NA,NA,"Minimal engagement; mostly white tourists",2024-12-23,NA
"Environmental Conditions","1899-12-31 08:10:00","Start time, Christmas Eve, minimal foot traffic",NA,NA,"Very little breeze","No clouds over point, some on north horizon",2024-12-24,NA
"Environmental Conditions","1899-12-31 08:21:00","Coastal sun exposure beginning",NA,NA,"Still calm","Clear sky, cumulus clouds visible north",2024-12-24,NA
"Environmental Conditions","1899-12-31 09:15:00","Light breeze begins",NA,"Easterly","Picking up","Clouds forming near reserve, horizon visible",2024-12-24,NA
"Environmental Conditions","1899-12-31 10:09:00","Sun hitting ridgeline",NA,"Easterly","Wind increased","Clouds increased on horizon",2024-12-24,NA
"Environmental Conditions","1899-12-31 10:25:00","First notable cloud cover",NA,NA,NA,NA,2024-12-24,NA
"Environmental Conditions","1899-12-31 10:40:00","Clouds settled more, ocean choppier",NA,NA,"Breeze picked up","Still minimal over point",2024-12-24,NA
